"Country,Other",Total Cases,Total Deaths,Deaths/1M pop,Population
USA,"10,66,27,427","11,59,824","3,464","33,48,05,269"
India,"4,49,39,515","5,31,508",378,"1,40,66,31,776"
France,"3,99,80,570","1,66,556","2,540","6,55,84,518"
Germany,"3,84,03,667","1,73,044","2,063","8,38,83,596"
Brazil,"3,74,49,418","7,01,494","3,257","21,53,53,593"
Japan,"3,37,00,970","74,501",593,"12,55,84,838"
S. Korea,"3,11,57,272","34,474",672,"5,13,29,899"
Italy,"2,57,88,387","1,89,738","3,149","6,02,62,770"
UK,"2,45,55,629","2,21,943","3,240","6,84,97,907"
Russia,"2,28,39,878","3,98,239","2,731","14,58,05,947"
Turkey,"1,72,32,066","1,02,174","1,194","8,55,61,976"
Spain,"1,38,25,052","1,20,715","2,584","4,67,19,142"
Vietnam,"1,15,57,969","43,188",436,"9,89,53,541"
Australia,"1,14,41,894","20,272",778,"2,60,68,792"
Taiwan,"1,02,39,998","19,005",796,"2,38,88,595"
Argentina,"1,00,44,957","1,30,472","2,836","4,60,10,234"
Netherlands,"86,10,372","22,992","1,336","1,72,11,447"
Iran,"76,06,689","1,46,005","1,697","8,60,22,837"
Mexico,"75,83,417","3,33,876","2,538","13,15,62,772"
Indonesia,"67,71,072","1,61,258",578,"27,91,34,505"
Poland,"65,13,550","1,19,551","3,168","3,77,39,785"
Colombia,"63,64,636","1,42,713","2,770","5,15,12,762"
Austria,"60,64,193","22,369","2,467","90,66,710"
Greece,"59,99,934","36,711","3,558","1,03,16,637"
Portugal,"55,80,792","26,550","2,618","1,01,40,570"
Ukraine,"55,18,614","1,12,023","2,594","4,31,92,122"
Chile,"52,83,617","64,497","3,350","1,92,50,195"
Malaysia,"50,66,877","37,011","1,115","3,31,81,072"
Israel,"48,21,234","12,484","1,339","93,26,000"
Belgium,"47,93,425","34,237","2,934","1,16,68,278"
DPRK,"47,72,813",74,3,"2,59,90,679"
Thailand,"47,30,490","33,947",484,"7,00,78,203"
Canada,"46,41,301","52,247","1,361","3,83,88,419"
Czechia,"46,40,168","42,761","3,983","1,07,36,784"
Peru,"45,01,130","2,20,122","6,535","3,36,84,208"
Switzerland,"44,01,379","14,452","1,647","87,73,637"
Philippines,"40,91,854","66,444",591,"11,25,08,994"
South Africa,"40,76,463","1,02,595","1,689","6,07,56,135"
Romania,"33,87,788","68,047","3,576","1,90,31,335"
Denmark,"31,80,458","8,542","1,464","58,34,950"
Hong Kong,"28,90,048","13,527","1,779","76,04,299"
Sweden,"27,06,137","24,087","2,357","1,02,18,971"
Serbia,"25,34,036","18,018","2,082","86,53,016"
Iraq,"24,65,545","25,375",602,"4,21,64,965"
Singapore,"23,40,779","1,727",291,"59,43,546"
New Zealand,"23,13,064","4,119",841,"48,98,203"
Hungary,"22,01,355","48,846","5,085","96,06,259"
Bangladesh,"20,38,174","29,446",175,"16,78,85,689"
Slovakia,"18,66,312","21,167","3,877","54,60,193"
Georgia,"18,38,936","17,049","4,296","39,68,738"
Jordan,"17,46,997","14,122","1,371","1,03,00,869"
